id_election,inscrits,votants,blancs,nuls,exprimes,fiabilite,source,url,perimetre
1999_euro_t1,40132517,18766155,,,17647172,officielle,"Commission nationale de recensement général des votes, Proclamation des résultats de l'élection des représentants au Parlement européen (scrutin du 13 juin 1999), JORF n° 142 du 22 juin 1999, p. 9134",https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000000211867,"France entière, circonscription nationale unique : départements, territoires et collectivités d'outre-mer, Nouvelle-Calédonie et Français établis hors de France (texte de la proclamation) ; résultats de la commune de Hitiaa-O-Te-Ra (Polynésie) écartés par la Commission ; la proclamation ne donne pas blancs et nuls"
2001_cant_t1,19586716,12825656,,,12211157,officielle,"Ministère de l'Intérieur, Cantonales 2001, Résultats France entière (tableur ; mêmes chiffres dans le fichier « Élections cantonales 2001 – Résultats » de data.gouv.fr)",https://www.interieur.gouv.fr/content/download/1860/19512/file/Cantonales_2001_France_entiere.xls,"Cantons renouvelés en mars 2001 (série sortante, 1 997 sièges) : métropole hors Paris et 4 départements d'outre-mer ; blancs et nuls confondus dans la source (blancs et nuls : 614 499)"
2001_cant_t2,14251628,8016689,,,7539782,officielle,"Ministère de l'Intérieur, Cantonales 2001, Résultats France entière, tour 2 (tableur)",https://www.interieur.gouv.fr/content/download/1860/19512/file/Cantonales_2001_France_entiere.xls,Cantons renouvelés en 2001 ayant un 2d tour ; blancs et nuls confondus dans la source (blancs et nuls : 476 907)
2002_pres_t1,41194689,29495733,,,28498471,officielle,"Conseil constitutionnel, décision n° 2002-109 PDR du 24 avril 2002 (déclaration des résultats du 1er tour)",https://www.conseil-constitutionnel.fr/decision/2002/2002109PDR.htm,"France entière : métropole, outre-mer et Français établis hors de France (recensement général des votes par le Conseil constitutionnel) ; la décision ne donne pas blancs et nuls (comptés ensemble avant 2014) ; autre version officielle (fichier du ministère sur data.gouv.fr) : voir totaux_officiels_variantes.csv"
2002_pres_t2,41191169,32832295,,,31062988,officielle,"Conseil constitutionnel, décision n° 2002-111 PDR du 8 mai 2002 (proclamation des résultats)",https://www.conseil-constitutionnel.fr/decision/2002/2002111PDR.htm,"France entière : métropole, outre-mer et Français établis hors de France (recensement général des votes par le Conseil constitutionnel) ; la décision ne donne pas blancs et nuls (comptés ensemble avant 2014) ; autre version officielle (fichier du ministère sur data.gouv.fr) : voir totaux_officiels_variantes.csv"
2002_legi_t1,40968893,26390471,,,25830831,officielle,"Ministère de l'Intérieur, Élections législatives 2002 – Résultats (data.gouv.fr), feuille « France entière T1T2 », tour 1",https://static.data.gouv.fr/9c/96f64b379471595907b6abb0267e7b9e36a1d9ccd06521e377c8330c3130de.xls,France entière : 577 circonscriptions (métropole et outre-mer) ; pas de circonscription des Français de l'étranger avant 2012 ; blancs et nuls confondus dans la source (blancs et nuls : 559 640)
2002_legi_t2,36784709,22184913,,,21220751,officielle,"Ministère de l'Intérieur, Élections législatives 2002 – Résultats (data.gouv.fr), feuille « France entière T1T2 », tour 2",https://static.data.gouv.fr/9c/96f64b379471595907b6abb0267e7b9e36a1d9ccd06521e377c8330c3130de.xls,"France entière, circonscriptions en ballottage au 2d tour ; pas de circonscription des Français de l'étranger avant 2012 ; blancs et nuls confondus dans la source (blancs et nuls : 964 162)"
2004_cant_t1,20053956,12816940,,,12290408,officielle,"Ministère de l'Intérieur, Les résultats France entière du 1er tour des élections cantonales 2004",https://www.archives-resultats-elections.interieur.gouv.fr/resultats/cantonales_2004/can2004_FE_T1.php,"Cantons renouvelés en mars 2004 (série sortante), métropole hors Paris et outre-mer ; blancs et nuls confondus dans la source (blancs et nuls : 526 532) ; autre version officielle (fichier du ministère sur data.gouv.fr) : voir totaux_officiels_variantes.csv"
2004_cant_t2,16622028,11052146,,,10402193,officielle,"Ministère de l'Intérieur, Les résultats France entière du 2e tour des élections cantonales 2004",https://www.archives-resultats-elections.interieur.gouv.fr/resultats/cantonales_2004/can2004_FE_T2.php,Cantons renouvelés en 2004 ayant un 2d tour ; blancs et nuls confondus dans la source ; autre version officielle (fichier du ministère sur data.gouv.fr) : voir totaux_officiels_variantes.csv
2004_regi_t1,41835232,25453092,,,24250637,officielle,"Ministère de l'Intérieur, Résultat des élections régionales 2004, France entière, rappel des résultats du 1er tour",https://www.archives-resultats-elections.interieur.gouv.fr/resultats/regionales_2004/FE.php,"France entière : toutes les régions, Corse et 4 régions d'outre-mer comprises (1 880 sièges à pourvoir) ; résultats définitifs proclamés par les commissions de recensement ; blancs et nuls confondus dans la source (blancs ou nuls : 1 202 455)"
2004_regi_t2,40982426,26907745,,,25839306,officielle,"Ministère de l'Intérieur, Résultat des élections régionales 2004, France entière, 2d tour",https://www.archives-resultats-elections.interieur.gouv.fr/resultats/regionales_2004/FE.php,"France entière, régions ayant un 2d tour ; résultats définitifs proclamés par les commissions de recensement ; blancs et nuls confondus dans la source (blancs ou nuls : 1 068 439)"
